"InstanceInst.","StatusStat.","VariablesVari.","BinariesBina.","IntegersInte.","ContinuousCont.","ConstraintsCons.","Nonz.Nonz.","SubmitterSubm.","GroupGrou.","ObjectiveObje.","TagsTags."
"gfd-schedulen180f7d50m30k18-16i","hard","2226625","1055523","1103442","67660","3447025","7026385","Gleb Belov","gfd-schedule","47","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"gfd-schedulen25f5d20m10k3i","easy","30916","14783","14556","1577","47093","88245","Gleb Belov","gfd-schedule","5","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"gfd-schedulen55f2d50m30k3i","easy","90158","40622","42209","7327","129102","260992","Gleb Belov","gfd-schedule","6","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"ghoulomb4-9-10i","easy","43424","15590","27834","0","56330","118062","Gleb Belov","ghoulomb","44","indicator numerics aggregations precedence variable_bound invariant_knapsack integer_knapsack general_linear"
"glass-sc","easy","214","214","0","0","6119","63918","Marc Pfetsch","maxfeassub","23","benchmark binary benchmark_suitable set_covering"
"glass4","easy","322","302","0","20","396","1815","I. Luzzi","–","1200012599.972384","benchmark benchmark_suitable precedence set_partitioning mixed_binary"
"gmu-35-40","easy","1205","1200","0","5","424","4843","Nora Konnyu","gmu","-2406733.3688","benchmark benchmark_suitable variable_bound set_packing mixed_binary"
"gmu-35-50","easy","1919","1914","0","5","435","8643","Nora Konnyu","gmu","-2607958.33","benchmark benchmark_suitable variable_bound set_packing mixed_binary"
"gmut-75-50","hard","68865","68859","0","6","2565","571475","Nora Konnyu","gmu","-14180699.047","variable_bound set_packing mixed_binary"
"gmut-76-40","open","24338","24332","0","6","2586","153017","Nora Konnyu","gmu","-14169441.78*","variable_bound set_packing mixed_binary"
"gmut-76-50","open","68865","68859","0","6","2586","470045","Nora Konnyu","gmu","-14171893.7789212*","variable_bound set_packing mixed_binary"
"gr4x6","easy","48","24","0","24","34","96","MIPLIB submission pool","–","202.3499999999979","variable_bound mixed_binary"
"graph20-20-1rand","easy","2183","2183","0","0","5587","19277","Michael Bastubbe","graphs","-9","benchmark binary decomposition benchmark_suitable precedence set_partitioning invariant_knapsack"
"graph20-80-1rand","hard","16263","16263","0","0","55107","191997","Michael Bastubbe","graphs","-6","binary decomposition precedence set_partitioning invariant_knapsack"
"graph40-20-1rand","open","31243","31243","0","0","99067","345557","Michael Bastubbe","graphs","-15*","binary decomposition precedence set_partitioning invariant_knapsack"
"graph40-40-1rand","open","102600","102600","0","0","360900","1260900","Michael Bastubbe","graphs","-9*","binary precedence set_partitioning invariant_knapsack"
"graph40-80-1rand","open","283648","283648","0","0","1050112","3671552","Michael Bastubbe","graphs","-7*","binary precedence set_partitioning invariant_knapsack"
"graphdraw-domain","easy","254","180","20","54","865","2600","Cézar Augusto Nascimento e Silva","graphdraw","19685.99997550038","benchmark benchmark_suitable variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"graphdraw-gemcutter","easy","166","112","16","38","474","1420","Cézar Augusto Nascimento e Silva","graphdraw","7118.5","benchmark_suitable variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"graphdraw-grafo2","open","9258","8844","134","280","203455","612366","Cézar Augusto Nascimento e Silva","graphdraw","72118.5*","variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"graphdraw-mainerd","open","2050","1860","62","128","20661","62350","Cézar Augusto Nascimento e Silva","graphdraw","39852.99999999995*","variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"graphdraw-opmanager","open","4812","4512","96","204","75395","227160","Cézar Augusto Nascimento e Silva","graphdraw","103535.4999999998*","variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"gsvm2rl11","open","2001","500","0","1501","1500","253500","Toni Sorrell","supportvectormachine","18121.63800478*","numerics precedence variable_bound mixed_binary"
"gsvm2rl12","open","2001","500","0","1501","1500","253500","Toni Sorrell","supportvectormachine","22.12011638092*","numerics precedence variable_bound mixed_binary"
"gsvm2rl3","easy","241","60","0","181","180","4020","Toni Sorrell","supportvectormachine","0.33652753","benchmark_suitable precedence variable_bound mixed_binary"
"gsvm2rl5","hard","401","100","0","301","300","10700","Toni Sorrell","supportvectormachine","5.42305352523751","precedence variable_bound mixed_binary"
"gsvm2rl9","open","801","200","0","601","600","41400","Toni Sorrell","supportvectormachine","7438.181167768*","numerics precedence variable_bound mixed_binary"
"gt2","easy","188","24","164","0","29","376","MIPLIB submission pool","–","21165.99999999978","set_packing integer_knapsack general_linear"
"gus-sch","easy","5475","2736","2736","3","5984","33135","Alexandra M. Newman","–","-1167","decomposition aggregations precedence variable_bound set_packing set_covering cardinality invariant_knapsack integer_knapsack mixed_binary general_linear"
"h50x2450","easy","4900","2450","0","2450","2549","12152","MIPLIB submission pool","fixed-cost-network-flow","32906.880834","decomposition benchmark_suitable variable_bound set_partitioning mixed_binary"
"h80x6320","easy","12640","6320","0","6320","79","6320","MIPLIB submission pool","fixed-cost-network-flow","3700","binary decomposition set_partitioning"
"h80x6320d","easy","12640","6320","0","6320","6558","31521","MIPLIB submission pool","fixed-cost-network-flow","6382.099048245999","benchmark decomposition benchmark_suitable variable_bound set_partitioning set_packing mixed_binary"
"hanoi5","hard","3862","3862","0","0","16399","39718","M. Winkler","–","1931","binary variable_bound set_covering"
"haprp","easy","1828","0","1828","0","1048","3628","MIPLIB submission pool","–","3673280.6808","decomposition aggregations general_linear"
"hawaiiv10-130","hard","685130","578444","0","106686","1388052","183263061","Jennifer Van Dinter","–","52425028.9449536","numerics aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary"
"hgms-det","hard","1322","547","0","775","9752","32367","Jesus Rodriguez","hgms","-47314.08587415493","aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack equation_knapsack mixed_binary"
"hgms30","open","23797","547","0","23250","281917","850486","Jesus Rodriguez","hgms","-44338.3173275985*","aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack equation_knapsack mixed_binary"
"hgms62","open","48597","547","0","48050","582237","1753238","Jesus Rodriguez","hgms","-44837.24534313961*","aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack equation_knapsack mixed_binary"
"highschool1-aigio","hard","320404","319686","718","0","92568","1562168","George Fonseca","timetabling","0","benchmark benchmark_suitable aggregations variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack general_linear"
"hypothyroid-k1","easy","2602","2601","1","0","5195","433884","Gleb Belov","hypothyroid","-2851","benchmark benchmark_suitable aggregations precedence set_covering binpacking general_linear"
"ic97_potential","easy","728","450","73","205","1046","3138","L. Peeters","–","3941.99993090225","benchmark benchmark_suitable precedence mixed_binary general_linear"
"ic97_tension","easy","703","176","4","523","319","2070","MIPLIB submission pool","–","3942","benchmark_suitable aggregations mixed_binary general_linear"
"icir97_potential","hard","2112","1235","422","455","3314","9942","MIPLIB submission pool","–","6325","precedence mixed_binary general_linear"
"icir97_tension","easy","2494","262","573","1659","1203","22333","MIPLIB submission pool","–","6375","benchmark benchmark_suitable aggregations mixed_binary general_linear"
"iis-glass-cov","easy","214","214","0","0","5375","56133","Marc Pfetsch","iis","20.99999999999999","binary benchmark_suitable set_covering"
"iis-hc-cov","easy","297","297","0","0","9727","142971","Marc Pfetsch","iis","17","binary benchmark_suitable set_covering"
"in","hard","1449074","1489","0","1447585","1526202","6811639","Armin Fuegenschuh","–","58","aggregations variable_bound mixed_binary"
"irish-electricity","easy","61728","9888","0","51840","104259","523257","Paula Carroll","–","3723497.591396","benchmark benchmark_suitable precedence variable_bound invariant_knapsack binpacking knapsack mixed_binary"
"irp","easy","20315","20315","0","0","39","98254","MIPLIB submission pool","–","12159.49283539698","benchmark binary benchmark_suitable set_partitioning"
"istanbul-no-cutoff","easy","5282","30","0","5252","20346","71477","Utz-Uwe Haus","–","204.08170701","benchmark benchmark_suitable aggregations variable_bound knapsack mixed_binary"
"ivu06","open","787239","787239","0","0","1177","8032303","S. Weider","ivu","142.86*","binary set_partitioning"
"ivu06-big","open","2277736","2277736","0","0","1177","23125770","S. Weider","ivu","140.74*","binary set_partitioning"
"ivu52","hard","157591","157591","0","0","2116","2179476","S. Weider","ivu","481.0068","binary set_partitioning invariant_knapsack knapsack mixed_binary"
"ivu59","open","2569996","2569996","0","0","3436","36186332","S. Weider","ivu","931.0*","binary set_partitioning"
"k16x240b","easy","480","240","0","240","256","960","MIPLIB submission pool","fixed-cost-network-flow","11392.99999884458","decomposition benchmark_suitable variable_bound mixed_binary"
"k1mushroom","easy","8211","8210","1","0","16419","1697946","Gleb Belov","k1mushroom","-3288","benchmark benchmark_suitable set_covering binpacking general_linear"
"k1mushroomi","easy","48104","16419","31685","0","56312","1666560","Gleb Belov","k1mushroom","-3288","indicator numerics aggregations precedence variable_bound general_linear"
"khb05250","easy","1350","24","0","1326","101","2700","MIPLIB submission pool","–","106940225.9999999","variable_bound mixed_binary"
"kosova1","open","614253","609591","4662","0","304931","3414761","George Fonseca","timetabling","293.0*","aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack binpacking general_linear"
"kottenpark09","open","2893026","2892333","693","0","325547","13085485","George Fonseca","timetabling","1715.0*","aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack mixed_binary general_linear"
"l2p12","easy","11786","10906","590","290","21315","59629","Gleb Belov","l2p","5","benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack general_linear"
"l2p1i","hard","317369","301560","15689","120","30784","641396","Gleb Belov","l2p","6","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack general_linear"
"l2p2i","easy","38196","13113","24938","145","47653","85208","Gleb Belov","l2p","8","indicator numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack general_linear"
"lectsched-1","easy","28718","28236","482","0","50108","310792","Harald Schilly","lectsched","0","feasibility benchmark_suitable aggregations precedence variable_bound integer_knapsack general_linear"
"lectsched-2","easy","17656","17287","369","0","30738","186520","Harald Schilly","lectsched","0","feasibility benchmark_suitable aggregations precedence variable_bound integer_knapsack general_linear"
"lectsched-3","easy","25776","25319","457","0","45262","279967","Harald Schilly","lectsched","0","feasibility benchmark_suitable aggregations precedence variable_bound integer_knapsack general_linear"
"lectsched-4-obj","easy","7901","7665","236","0","14163","82428","Harald Schilly","lectsched","4","benchmark_suitable aggregations precedence variable_bound set_covering integer_knapsack general_linear"
"lectsched-5-obj","easy","21805","21389","416","0","38884","239608","Harald Schilly","lectsched","24","benchmark benchmark_suitable aggregations precedence variable_bound set_covering invariant_knapsack integer_knapsack general_linear"
"leo1","easy","6731","6730","0","1","593","131218","COR@L test set","–","404227536.16","benchmark benchmark_suitable variable_bound set_packing set_covering mixed_binary"
"leo2","easy","11100","11099","0","1","593","219959","COR@L test set","–","404077441.12","benchmark benchmark_suitable variable_bound set_packing set_covering mixed_binary"
"liu","open","1156","1089","0","67","2178","10626","X. Liu","–","1084.0*","precedence mixed_binary"
"loopha13","easy","19356","18150","0","1206","23758","41809","Hamideh","–","6.40233","benchmark_suitable aggregations precedence variable_bound invariant_knapsack mixed_binary"
"lotsize","easy","2985","1195","0","1790","1920","6565","Dinakar Gade, Simge Kucukyavuz","–","1480195","benchmark decomposition benchmark_suitable variable_bound set_packing invariant_knapsack mixed_binary"
"lr1dr02vc05v8a-t360","open","20810","12174","6471","2165","7560","58950","Dimitri Papageorgiou","maritime","123046.8149370308*","aggregations variable_bound set_partitioning set_packing cardinality mixed_binary general_linear"
"lr1dr04vc05v17a-t360","open","36912","15326","17979","3607","12600","107170","Dimitri Papageorgiou","maritime","252463.3952194264*","aggregations variable_bound set_partitioning set_packing integer_knapsack mixed_binary general_linear"
"lr1dr12vc10v70b-t360","open","193525","90670","93480","9375","56160","587100","Dimitri Papageorgiou","maritime","1166516.57270949*","aggregations variable_bound set_partitioning set_packing integer_knapsack mixed_binary general_linear"
"lr2-22dr3-333vc4v17a-t60","open","109519","92865","0","16654","108566","435517","Dimitri Papageorgiou","maritime","NA","no_solution decomposition aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack mixed_binary"
"lrn","easy","7253","2455","0","4798","8491","46123","MIPLIB submission pool","–","44479255.12362","numerics aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack knapsack mixed_binary"
"mad","easy","220","200","0","20","51","2808","Koichi Fujii","–","0.0268","benchmark benchmark_suitable set_partitioning set_packing invariant_knapsack mixed_binary"
"manna81","easy","3321","18","3303","0","6480","12960","MIPLIB submission pool","–","-13164","variable_bound"
"map06","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-289","benchmark_suitable precedence variable_bound knapsack mixed_binary"
"map10","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-495","benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary"
"map14860-20","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-922","benchmark_suitable precedence variable_bound knapsack mixed_binary"
"map16715-04","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-111","benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary"
"map18","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-847","benchmark_suitable precedence variable_bound knapsack mixed_binary"
"mappingmesh3x3mpeg2i","easy","10470","4739","4369","1362","17055","33278","Gleb Belov","mapping","905","indicator numerics aggregations precedence variable_bound set_partitioning cardinality integer_knapsack mixed_binary general_linear"
"mario-t-hard5i","easy","73475","31022","30948","11505","85190","238314","Gleb Belov","mario","-4482","indicator numerics aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary general_linear"
"maritime-jg3d9","easy","92261","36960","0","55301","126621","627969","Dimitri Papageorgiou","maritime","Infeasible","infeasible decomposition aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack mixed_binary general_linear"
"markshare1","easy","62","50","0","12","6","312","G. Cornuéjols, M. Dawande","markshare","0.9999999999990905","benchmark_suitable integer_knapsack general_linear"
"markshare2","hard","74","60","0","14","7","434","G. Cornuéjols, M. Dawande","markshare","1","benchmark benchmark_suitable integer_knapsack general_linear"
"markshare_4_0","easy","34","30","0","4","4","123","G. Cornuéjols, M. Dawande","markshare","1","benchmark benchmark_suitable integer_knapsack general_linear"
"markshare_5_0","easy","45","40","0","5","5","203","G. Cornuéjols, M. Dawande","markshare","1","benchmark_suitable integer_knapsack general_linear"
"mas74","easy","151","150","0","1","13","1706","MIPLIB submission pool","–","11801.18572","benchmark benchmark_suitable invariant_knapsack mixed_binary"
"mas76","easy","151","150","0","1","12","1640","MIPLIB submission pool","–","40005.05398999999","benchmark benchmark_suitable invariant_knapsack mixed_binary"
"maxgasflow","easy","7437","2456","0","4981","7160","19717","G. Gamrath","–","-44565819157.51","decomposition numerics aggregations variable_bound mixed_binary"
"mc11","easy","3040","1520","0","1520","1920","6080","F. Ortega, L. Wolsey","mc","11688.99999999966","benchmark decomposition benchmark_suitable variable_bound mixed_binary"
"mc7","easy","3040","1520","0","1520","1920","6080","F. Ortega, L. Wolsey","mc","3417","decomposition benchmark_suitable variable_bound mixed_binary"
"mc8","easy","3040","1520","0","1520","1920","6080","F. Ortega, L. Wolsey","mc","1566","decomposition benchmark_suitable variable_bound mixed_binary"
"mcsched","easy","1747","1745","0","2","2107","8088","Q. Chen","–","211913","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack general_linear"
"mik-250-20-75-1","easy","270","75","175","20","195","9270","MIPLIB submission pool","mik_250","-49716","general_linear"
"mik-250-20-75-2","easy","270","75","175","20","195","9270","MIPLIB submission pool","mik_250","-50768.00000000001","general_linear"
"mik-250-20-75-3","easy","270","75","175","20","195","9270","MIPLIB submission pool","mik_250","-52242","general_linear"
"mik-250-20-75-4","easy","270","75","175","20","195","9270","MIPLIB submission pool","mik_250","-52301","benchmark benchmark_suitable general_linear"
"mik-250-20-75-5","easy","270","75","175","20","195","9270","MIPLIB submission pool","mik_250","-51532","general_linear"
"milo-v12-6-r1-58-1","hard","4440","1500","0","2940","9540","25068","Tamas Terlaky","milo","634081.4112039516","decomposition aggregations precedence variable_bound mixed_binary general_linear"
"milo-v12-6-r1-75-1","open","5698","1925","0","3773","12243","32174","Tamas Terlaky","milo","1153756.39820567*","decomposition aggregations precedence variable_bound mixed_binary general_linear"
"milo-v12-6-r2-40-1","easy","2688","840","0","1848","5628","14604","Tamas Terlaky","milo","326481.14282799","benchmark decomposition benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear"
"milo-v13-4-3d-3-0","hard","516","120","0","396","996","2456","Tamas Terlaky","milo","273238.08563337","aggregations variable_bound mixed_binary general_linear"
"milo-v13-4-3d-4-0","open","688","160","0","528","1328","3292","Tamas Terlaky","milo","358152.2621937089*","aggregations variable_bound mixed_binary general_linear"
"mine-166-5","easy","830","830","0","0","8429","19412","Andreas Bley","mine","-566395707.9","binary benchmark_suitable precedence knapsack"
"mine-90-10","easy","900","900","0","0","6270","15407","Andreas Bley","mine","-784302337.6332","binary benchmark_suitable precedence knapsack"
"mining","open","348921","348920","0","1","661133","3844879","Kelly Eurek","–","-833555203.4089005*","binary numerics precedence invariant_knapsack mixed_binary"
"minutedispatchstrategy","open","41761","20156","0","21605","80194","239480","Mark Husted","–","3109.903477759654*","numerics precedence variable_bound invariant_knapsack mixed_binary"
"misc04inf","easy","4897","30","0","4867","1726","17253","MIPLIB submission pool","misc","Infeasible","infeasible aggregations precedence variable_bound set_packing mixed_binary general_linear"
"misc05inf","easy","136","74","0","62","301","2946","MIPLIB submission pool","misc","Infeasible","infeasible variable_bound set_partitioning set_covering cardinality mixed_binary general_linear"
"misc07","easy","260","259","0","1","212","8619","MIPLIB submission pool","misc","2810","set_partitioning set_packing set_covering cardinality invariant_knapsack binpacking general_linear"
"mitre","easy","10724","10724","0","0","2054","39704","MIPLIB submission pool","–","115154.9999999991","binary decomposition set_partitioning set_covering invariant_knapsack mixed_binary"
"mkc","hard","5325","5323","0","2","3411","17038","J. Kalagnanam, M. Dawande","–","-563.8460100132","decomposition precedence variable_bound set_packing invariant_knapsack binpacking mixed_binary"
"mkc1","easy","5325","3087","0","2238","3411","17038","MIPLIB submission pool","–","-607.20703","decomposition benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary"
"mod008inf","easy","319","319","0","0","7","1562","MIPLIB submission pool","mod","Infeasible","infeasible binary knapsack mixed_binary"
"mod010","easy","2655","2655","0","0","146","11203","MIPLIB submission pool","mod","6548","binary set_partitioning cardinality binpacking"
"mod011","easy","10958","96","0","10862","4480","22254","MIPLIB submission pool","mod","-54558535.59","numerics aggregations variable_bound set_packing mixed_binary"
"moj-mining","hard","67519","5171","0","62348","49916","1691236","Alexandra M. Newman","–","-1256561010.473","numerics precedence mixed_binary"
"momentum1","easy","5174","2349","0","2825","42680","103191","T. Koch","momentum","109143.4935","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary"
"momentum2","easy","3732","1808","1","1923","24237","237087","T. Koch","momentum","12314.1","numerics aggregations precedence variable_bound set_partitioning invariant_knapsack binpacking mixed_binary general_linear"
"momentum3","open","13532","6598","1","6933","56822","562712","T. Koch","momentum","173202.1864147565*","numerics aggregations precedence variable_bound set_partitioning binpacking mixed_binary general_linear"
"mrcpspj30-15-5i","easy","24376","6192","8921","9263","32659","56963","Gleb Belov","mrcpspj","24","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"mrcpspj30-17-10i","easy","26381","7386","10901","8094","34490","62166","Gleb Belov","mrcpspj","26","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"mrcpspj30-53-3i","easy","24220","6020","8938","9262","32618","56796","Gleb Belov","mrcpspj","34","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"msc98-ip","easy","21143","20237","53","853","15850","92918","E-Plus, D. Bienstock, A. Bley, R. Wessäly","–","19839497.0058743","numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack knapsack integer_knapsack mixed_binary general_linear"
"mspsphard01i","easy","21531","10868","10663","0","32864","59860","Gleb Belov","mspsp","35","indicator numerics aggregations precedence variable_bound set_packing invariant_knapsack general_linear"
"mspsphard03i","easy","32266","18603","13663","0","56333","114618","Gleb Belov","mspsp","30","indicator numerics aggregations precedence variable_bound set_packing set_covering invariant_knapsack binpacking knapsack mixed_binary general_linear"
"mtest4ma","easy","1950","975","0","975","1174","4875","MIPLIB submission pool","–","52148","decomposition variable_bound set_packing mixed_binary"
"mushroom-best","easy","8468","8237","118","113","8580","188735","Berk Ustun","ustun","0.0553337612","benchmark benchmark_suitable variable_bound general_linear"
"mzzv11","easy","10240","9989","251","0","9499","134603","S. Lukac","–","-21718","benchmark benchmark_suitable variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack general_linear"
"mzzv42z","easy","11717","11482","235","0","10460","151261","MIPLIB submission pool","–","-20540","benchmark benchmark_suitable precedence variable_bound set_partitioning set_packing cardinality general_linear"
"n13-3","easy","3472","0","186","3286","1723","13516","A. Atamtürk","nxy-z","13385","decomposition benchmark_suitable aggregations mixed_binary general_linear"
"n2seq36f","easy","8100","8100","0","0","285","60948","R. Meirich","nseq","52200","binary decomposition benchmark_suitable set_packing set_covering mixed_binary"
"n2seq36q","easy","22480","22480","0","0","2565","183292","R. Meirich","nseq","52200","benchmark binary benchmark_suitable set_packing set_covering invariant_knapsack binpacking knapsack"
"n3700","open","10000","5000","0","5000","5150","20000","J. Aronson","n37","1218974.9999999998*","decomposition variable_bound mixed_binary"
"n3705","open","10000","5000","0","5000","5150","20000","J. Aronson","n37","1212657.0*","decomposition variable_bound mixed_binary"
"n3707","open","10000","5000","0","5000","5150","20000","J. Aronson","n37","1186691.0*","decomposition variable_bound mixed_binary"
"n3709","open","10000","5000","0","5000","5150","20000","J. Aronson","n37","1207965.0*","decomposition variable_bound mixed_binary"
"n370b","open","10000","5000","0","5000","5150","20000","J. Aronson","n37","1225077.0*","decomposition variable_bound mixed_binary"
"n3div36","easy","22120","22120","0","0","4484","340740","R. Meirich","nseq","130800","benchmark binary decomposition benchmark_suitable set_packing set_covering mixed_binary"
"n3seq24","easy","119856","119856","0","0","6044","3232340","R. Meirich","nseq","52200","binary benchmark_suitable set_packing set_covering invariant_knapsack knapsack"
"n5-3","easy","2550","0","150","2400","1062","9900","A. Atamtürk","nxy-z","8104.999999993999","benchmark decomposition benchmark_suitable aggregations mixed_binary general_linear"
"n6-3","easy","7178","0","222","6956","2760","28268","A. Atamtürk","nxy-z","15174.999303","decomposition benchmark_suitable aggregations mixed_binary general_linear"
"n7-3","easy","5626","0","174","5452","2336","22156","A. Atamtürk","nxy-z","15425.99999997","decomposition benchmark_suitable aggregations mixed_binary general_linear"
"n9-3","easy","7644","0","252","7392","2364","30072","A. Atamtürk","nxy-z","14409","decomposition benchmark_suitable aggregations mixed_binary general_linear"
"nag","open","2884","1350","35","1499","5840","26499","N. Shenoy","–","945*","aggregations precedence variable_bound set_partitioning mixed_binary general_linear"
"nb10tb","open","73340","16880","0","56460","150495","1172289","Serge Bisaillon","–","13796452423.08137*","decomposition numerics aggregations precedence variable_bound set_packing invariant_knapsack binpacking knapsack mixed_binary"
"neos-1061020","easy","14010","10333","3598","79","10618","114508","NEOS Server Submission","neos-pseudoapplication-11","-142745.3","numerics aggregations set_partitioning cardinality general_linear"
"neos-1067731","easy","8779","6330","0","2449","3423","30998","NEOS Server Submission","neos-pseudoapplication-11","1025102","benchmark_suitable aggregations set_partitioning mixed_binary"
"neos-1112782","easy","4140","2070","0","2070","2115","8145","NEOS Server Submission","neos-pseudoapplication-89","571844066711","decomposition numerics variable_bound mixed_binary"
"neos-1112787","easy","3280","1640","0","1640","1680","6440","NEOS Server Submission","neos-pseudoapplication-89","564772773667","decomposition numerics variable_bound mixed_binary"
"neos-1122047","easy","5100","100","0","5000","57791","163640","NEOS Server Submission","neos-pseudoapplication-46","161","benchmark benchmark_suitable precedence variable_bound mixed_binary"
"neos-1140050","hard","40320","38640","0","1680","3795","808080","NEOS Server Submission","neos-pseudoapplication-101","Infeasible","infeasible decomposition numerics set_partitioning mixed_binary"
"neos-1171448","easy","4914","2457","0","2457","13206","131859","NEOS Server Submission","neos-pseudoapplication-8","-309","benchmark benchmark_suitable variable_bound invariant_knapsack mixed_binary"
"neos-1171737","easy","2340","1170","0","1170","4179","58620","NEOS Server Submission","neos-pseudoapplication-80","-195","benchmark benchmark_suitable variable_bound set_packing mixed_binary"
"neos-1223462","easy","5495","5180","315","0","5890","47040","NEOS Server Submission","neos-pseudoapplication-12","-751.0000000645","benchmark_suitable variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack knapsack general_linear"
"neos-1324574","easy","5256","5256","0","0","5904","20880","NEOS Server Submission","neos-pseudoapplication-99","7.999999999999998","binary decomposition benchmark_suitable aggregations precedence cardinality"
"neos-1330346","easy","2664","2664","0","0","4248","13032","NEOS Server Submission","neos-pseudoapplication-49","8","binary decomposition benchmark_suitable aggregations precedence variable_bound cardinality"
"neos-1337307","easy","2840","2840","0","0","5687","30799","NEOS Server Submission","neos-pseudoapplication-13","-202319","binary decomposition benchmark_suitable precedence set_partitioning invariant_knapsack knapsack mixed_binary"
"neos-1354092","easy","13702","13282","420","0","3135","187187","NEOS Server Submission","neos-pseudoapplication-47","46","benchmark decomposition benchmark_suitable variable_bound set_partitioning general_linear"
"neos-1367061","easy","36600","625","350","35625","102750","260250","NEOS Server Submission","neos-pseudoapplication-76","31320456.264","benchmark_suitable variable_bound mixed_binary general_linear"
"neos-1396125","easy","1161","129","0","1032","1494","5511","NEOS Server Submission","neos-pseudoapplication-96","3000.0453373","benchmark_suitable precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"neos-1420546","open","26055","1125","0","24930","12671","67959","NEOS Server Submission","neos-pseudoapplication-9","23011.81329776996*","decomposition set_partitioning mixed_binary"
"neos-1420790","open","4926","540","0","4386","2310","12720","NEOS Server Submission","neos-pseudoapplication-9","3120.439334905983*","decomposition set_partitioning mixed_binary"
"neos-1423785","open","21506","1920","0","19586","25721","64082","NEOS Server Submission","neos-pseudoapplication-98","21893.26*","aggregations precedence variable_bound mixed_binary"
"neos-1425699","easy","105","5","80","20","89","430","NEOS Server Submission","neos-pseudoapplication-37","3179698976.996124","decomposition aggregations cardinality integer_knapsack general_linear"
"neos-1430701","easy","312","156","0","156","668","2868","NEOS Server Submission","neos-pseudoapplication-8","-77.00000000000182","decomposition benchmark_suitable variable_bound mixed_binary"
"neos-1442119","easy","728","364","0","364","1524","6692","NEOS Server Submission","neos-pseudoapplication-8","-181.000000000003","decomposition benchmark_suitable variable_bound mixed_binary"
"neos-1445532","easy","14406","1999","0","12407","1924","27736","NEOS Server Submission","neos-pseudoapplication-88","-17041","aggregations invariant_knapsack mixed_binary"
"neos-1445738","easy","20631","2150","0","18481","2145","40256","NEOS Server Submission","neos-pseudoapplication-88","-17380","benchmark_suitable aggregations invariant_knapsack mixed_binary"
"neos-1445743","easy","20344","2150","0","18194","2148","39685","NEOS Server Submission","neos-pseudoapplication-88","-17905","benchmark_suitable aggregations invariant_knapsack mixed_binary"
"neos-1445765","easy","20617","2150","0","18467","2147","40230","NEOS Server Submission","neos-pseudoapplication-88","-17783","benchmark benchmark_suitable aggregations invariant_knapsack mixed_binary"
